grmd,md_name,tex_text
1436,"LIMNOCHORDIA L945 MEDIUM","\mono{KH$_2$PO$_4$} {0.2} {g}
\mono{MgCl$_2$$\cdot$6H$_2$O} {0.04} {g}
\mono{CaCl$_2$$\cdot$2H$_2$O} {0.1} {g}
\mono{KCl} {0.5} {g}
\mono{NH$_4$Cl} {0.25} {g}
\mono{Wolfe’s mineral solution (see Medium No. [265])} {10.0} {ml}
\mono{Resazurin} {0.5} {mg}
\mono{Distilled water} {890.0} {ml}

\chu{Mix components thoroughly, sparge the medium with a N$_2$-CO$_2$ (80:20, v/v) gas mixture
and autoclave under the same gas mixture. After cooling, aseptically and anaerobically
add the following solutions from sterile anaerobic stocks (autoclaved or *filter-sterilized):}

\mono{8% NaHCO$_3$ solution*} {60.0} {ml}
\mono{10% Glucose solution} {20.0} {ml}
\mono{1.0 M Sodium fumarate solution} {10.0} {ml}
\mono{Trace vitamins* (see Medium No. [197])} {10.0} {ml}

\chu{Prior to use, add per liter the following solution (autoclave and store under a N$_2$
atmosphere):}

\mono{5% Na$_2$S$\cdot$9H$_2$O solution} {10.0} {ml}

\chu{Adjust pH to 7.5, if necessary.}
     
"
1479,"SOLIDESULFOVIBRIO MEDIUM","\mono{KH$_2$PO$_4$}                                           {0.20}{g}
\mono{ NH$_4$Cl}                                              {0.06}{g}
\mono{ Fe(III)$\cdot$EDTA}                                    {1.0}{mg}
\mono{ Modified Wolfe’s mineral solution (see Medium No. [915])}  {4.0}{ml}
\mono{ Sodium fumarate}                                       {0.58}{g}
\mono{ Sodium pyruvate}                                       {0.44}{g}
\mono{ Distilled water}                                     {985.0}{ml}
\chu{ Mix components thoroughly, adjust pH to 7.0 and autoclave under a N$_2$ gas atmosphere.
 After cooling, aseptically and anaerobically add the following solutions from anaerobic stocks
 (autoclaved or *filter-sterilized):}

\mono{Vitamin solution* (see Medium No. [915])}              {10.0}{ml}
\mono{ 5% L-Cysteine$\cdot$HCl$\cdot$H$_2$O solution (pH 7.0)}  {1.0}{ml}
\chu{ Readjust pH to 7.0, if necessary.}
     
"
1481,"Bold's Basal Medium (BBM)","\mono{Agar}{20g}\\mono{ Distilled water}{980mL}\\chu{Sigma-Aldrich Bold Modified Basal Freshwater Nutrient Solution, 50x 20mL
 Add 50x BBM after autoclave}
     
"
1477,"GIBBONS MODIFIED MEDIUM","\mono{Casamino acids (BD-Difco)}                              {10.0}{g}
\mono{Trisodium citrate$\cdot$2H$_2$O}                         {5.0}{g}
\mono{Yeast extract (BD-Difco)}                               {10.0}{g}
\mono{Bacto peptone (BD-Difco)}                                {5.0}{g}
\mono{KCl}                                                     {2.0}{g}
\mono{MgSO$_4$$\cdot$7H$_2$O}                                  {2.0}{g}
\mono{NaCl}                                                   {30.0}{g}
\mono{Agar}                                                   {15.0}{g}
\mono{Distilled water}                                         {1.0}{L}
\chu{Adjust pH to 7.5.}
     
"
1475,"DESULFOBACTER MEDIUM WITH HORSE SERUM","\mono{Na$_2$SO$_4$} 　　　　                               {3.0}{g}
\mono{KH$_2$PO$_4$} 　　　　                               {0.2}{g}
\mono{NH$_4$Cl} 　　　　　                                {0.3}{g}
\mono{NaCl}　　　　　　                                 {21.0}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}　　　　　　                {3.0}{g}
\mono{KCl}　　　　　　　　　                          {0.5}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}　　　　　　                {0.15}{g}
\mono{Tryptone (Difco)}　　　　　                        {10.0}{g}
\mono{FeCl$_2$ solution (see Medium No. [187])} 　　　      {1.0}{ml}
\mono{Trace element solution (see Medium No. [187])}　　　   {1.0}{ml}
\mono{Resazurin} 　　　　　　　                         {1.0}{mg}
\mono{Distilled water}　　　　　                        {920.0}{ml}
\chu{Mix components thoroughly and autoclave under a N$_2$-CO$_2$ (80:20, v/v) gas mixture. After
cooling, aseptically and anaerobically add the following solutions (autoclaved or *filtersterilized):}

\mono{Horse Serum (Gibco)*} 　　　　                      {10.0}{ml}
\mono{Trace vitamins* (see Medium No. [197])} 　　　　    {10.0}{ml}
\mono{8% NaHCO$_3$ solution*} 　　　　                    {50.0}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution} 　　　　          {8.0}{ml}
\chu{Adjust pH 7.1-7.4, if necessary.}
     
"
1467,"Yeast Extract Peptone Dextrose (YPD)","\mono{Distilled water}{950}{mL}\\mono{Yeast extract (BD-Difco)}{10}{g}\\mono{Polypepton (Nihon Seiyaku)}{10}{g}\\mono{Glucose}{20}{g}\\mono{Agar}{18}{g}
     
"
1468,"FRESHWATER R2A MEDIUM","\mono{Yeast extract (BD-Difco)}                               {0.5}{g}
\mono{Proteose peptone No. 3 (BD-Difco)}                      {0.5}{g}
\mono{Casamino acids (BD-Difco)}                              {0.5}{g}
\mono{Glucose}                                                {0.5}{g}
\mono{KH$_2$PO$_4$}                                           {0.5}{g}
\mono{Soluble starch}                                         {0.5}{g}
\mono{Sodium pyruvate}                                        {0.5}{g}
\mono{NH$_4$Cl}                                               {1.5}{g}
\mono{FeCl$_2$ solution (see Medium No. [187])}               {1.0}{ml}
\mono{Trace element solution (see Medium No. [187])}          {1.0}{ml}
\mono{Selenite tungstate solution (see Medium No. [431])}     {0.5}{ml}
\mono{Vitamin solution* (see Medium No. [403])}               {1.0}{ml}
\mono{Thiamine solution* (see Medium No. [403])}              {1.0}{ml}
\mono{Vitamin B12 solution* (see Medium No. [403])}           {1.0}{ml}
\mono{Resazurin}                                              {0.5}{mg}
\mono{Distilled water}                                        {1.0}{L}
\chu{Mix components and autoclave under a N$_2$-CO$_2$ (80:20, v/v) gas mixture. After cooling,
aseptically and anaerobically, add the following solutions from anaerobic stocks (autoclaved
and stored under a N$_2$ atmosphere):}


\mono{1 M NaHCO$_3$ solution}                                 {5.0}{ml}
\mono{1 M Coenzyme M solution}                                {0.5}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                      {6.0}{ml}
\chu{Adjust pH to 7.0.}
     
"
1461,"MODIFIED GAM BROTH","\mono{GAM broth, modified (Nissui)} {41.7} {g}
\mono{Distilled water} {1.0} {L}
     
"
1462,"METHANOSARCINA T3 MEDIUM","\mono{KCl}                                                    {0.34}{g}
\mono{MgCl$_2$$\cdot$6H$_2$O}                                 {4.0}{g}
\mono{NH$_4$Cl}                                               {0.25}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.14}{g}
\mono{K$_2$HPO$_4$}                                           {0.14}{g}
\mono{NaCl }                                                  {9.0}{g}
\mono{Trace mineral solution (see Medium No. [151])}         {10.0}{ml}
\mono{Ni-Se-W solution (see below)}                          {10.0}{ml}
\mono{Fe(NH$_4$)$_2$(SO$_4$)$_2$$\cdot$6H$_2$O}               {2.0}{mg}
\mono{NaHCO$_3$}                                              {5.0}{g}
\mono{Resazurin}                                              {0.5}{mg}
\mono{Distilled water}                                      {980.0}{ml}
\chu{Mix components thoroughly and adjust pH to 6.5, then distribute the medium into culture
vessels under a N$_2$-CO$_2$ (80:20, v/v) gas mixture and seal with butyl rubber stoppers. After
autoclaving, stand the medium overnight. Prior to use, add per liter the following solutions
(autoclaved or* filter-sterilized, and stored under a N$_2$ atmosphere):}


\mono{Trace vitamins* (see Medium No. [197])}                {10.0}{ml}
\mono{2 M trimethylammonium chloride solution* }             {35.0}{ml}
\mono{Methanol*}                                              {5.0}{ml}
\mono{5% L-Cysteine$\cdot$HCl$\cdot$H$_2$O solution}         {10.0}{ml}
\mono{5% Na$_2$S$\cdot$9H$_2$O solution}                     {10.0}{ml}
\chu{Adjust pH to 7.0 if necessary.}
\chu{\sfi Ni-Se-W solution:}


\mono{NiCl$_2$$\cdot$6H$_2$O}                                {30.0}{mg}
\mono{Na$_2$SeO$_3$$\cdot$5H$_2$O}                            {0.3}{mg}
\mono{Na$_2$WO$_2$$\cdot$2H$_2$O}                             {0.4}{mg}
\mono{Distilled water}                                        {1.0}{L}
     
"
1463,"METHANOSARCINA MFA9 MEDIUM","\chu{Use Medium No. [1462] with 21.0 g/L NaCl, instead of 9.0 g/L.}
     
"
1465,"MODIFIED NMS MEDIUM-4","\mono{KNO$_3$}                                                {1.0}{g}
\mono{MgSO$_4$$\cdot$7H$_2$O}                                 {1.0}{g}
\mono{CaCl$_2$$\cdot$2H$_2$O}                                 {0.2}{g}
\mono{Fe(III)-EDTA}                                           {3.8}{mg}
\mono{Na$_2$MoO$_4$$\cdot$2H$_2$O}                            {0.26}{mg}
\mono{Na$_2$HPO$_4$$\cdot$12H$_2$O}                           {0.72}{g}
\mono{KH$_2$PO$_4$}                                           {0.26}{g}
\mono{Trace element solution (see below)}                     {1.0}{ml}
\mono{Distilled water}                                        {1.0}{L}
\chu{Mix components and autoclave. Aseptically distribute the medium into sterile serum bottles
(leave ≥ 80% gas phase by volume) and seal with rubber stoppers. Replace the gas phase
with an air-methane gas mixture (82:18, v/v).} 

\chu{Trace element solution:} 
\mono{CuSO$_4$$\cdot$5H$_2$O}                                 {0.2}{g}
\mono{FeSO$_4$$\cdot$7H$_2$O}                                 {0.5}{g}
\mono{ZnSO$_4$$\cdot$7H$_2$O}                                 {0.4}{g}
\mono{H$_3$BO$_2$}                                            {0.02}{g}
\mono{CoCl$_2$$\cdot$6H$_2$O}                                 {0.05}{g}
\mono{EDTA$\cdot$2Na}                                         {0.25}{g}
\mono{MnCl$_2$$\cdot$4H$_2$O}                                 {0.02}{g}
\mono{NiCl$_2$$\cdot$6H$_2$O}                                 {0.01}{g}
\mono{Distilled water}                                        {1.0}{L}
     
"
1446,"RCM BROTH","\mono{Bacto peptone (BD-Difco)} {10.0} {g}
\mono{Beef extract (BD-Difco)} {10.0} {g}
\mono{Yeast extract (BD-Difco)} {3.0} {g}
\mono{Glucosev {5.0} {g}
\mono{NaCl} {5.0} {g}
\mono{Soluble starch} {1.0} {g}
\mono{L-Cysteine$\cdot$HCl$\cdot$H$_2$O} {0.5} {g}
\mono{Sodium acetate} {3.0} {g}
\mono{Distilled water} {1.0}{L}

\chu{Adjust pH to 6.8.}
     
"
1449,"MODIFIED DIXON'S AGAR","\mono{Malt extract}{36}{g}\\mono{Peptone}{6}{g}\\mono{Desiccated ox bile}{20}{g}\\mono{Tween 40}{10}{mL}\\mono{Glycerol}{2}{mL}\\mono{Oleic acid}{2}{mL}\\mono{Agar}{12}{g}\\mono{Distilled water}{1000} {mL}\\chu{Adjust pH to 6.}
     
"
